Cleaned Tweet,Original Tweet,Predicted Label,Actual Label
"hell, my itunes music library is even bipolar","Hell, my iTunes music library is even bipolar!",0,-1
"is having a profitable day  looking forward to sunday...gonna be a great day -- sad, too, because it the 5th grader last day","is having a profitable day!  Looking forward to Sunday...gonna be a great day -- sad, too, because it`s the 5th graders last day!",1,0
 yupp t better than people being rude to her  x, yupp t`s better than people being rude to her  x,1,0
" my first thought too, ive never even watched dragonball"," My first thought too, I`ve never even watched Dragonball",-1,0
" dude, i can safely say i wa blown away when i heard attics. ill make sure i pas it on a much a i can"," dude, I can safely say I was blown away when I heard Attics. I`ll make sure I pass it on as much as I can!",0,1
 heylo johnn (: im a huge fan. hope ur day is awesomee. cuzz im home sick and it kinda less than awesome.. anyways.. peace, heylo johnn (: im a huge fan. hope ur day is awesomee. cuzz im home sick and its kinda less than awesome.. anyways.. PEACE,1,0
starting to get annoyed with socialscope. need an update,Starting to get annoyed with socialscope. Need an update,0,-1
 haha. your a loser.  ily, haha. Your a loser.  ily,1,0
 goodmorning to youthank you so much for being so kind? the sun is out and im going to paint outside, Goodmorning to you!Thank you so much for being so kind? The sun is out and I`m going to paint outside,-1,1
 - you both have so beatiful eye  i wanna have them,http://twitpic.com/4fzo7 - you both have so beatiful eyes  i wanna have them,0,1
im so glad my concert is still a week away...im getting so sick and i need the time to recover my lung hurt so bad right now,I`m so glad my concert is still a week away...I`m getting so sick and I need the time to recover!! My lungs hurt so bad right now,-1,0
tryin to upload a new pic but this **** say it too big,Tryin to upload a new pic but this **** says its too big,0,-1
will be flying to ontario in 4 hourswill probably stay awake.i will be there for a 8 days...camping 4 the first time yayi am sleepy now,Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now,0,1
supposed to be great weather today & 2moro; just my luck im stuck in work 1-10 both day,supposed to be great weather today & 2moro; just my luck Im stuck in work 1-10 both days!,1,0
**** wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya,**** wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!,0,-1
if someone in the family died you would of heard about it. duhhhhhh. . .,If someone in the family died you would of heard about it. Duhhhhhh. . .,0,-1
 so where r u spinning now that the hookah is r.i.p.?, so where r u spinning now that the Hookah is R.I.P.?,0,-1
crappy music on the radio,crappy music on the radio,0,-1
dude i have 2 more hour  and im all done with my work,dude I have 2 more hours  and I`m all done with my work,-1,1
 and why cant toy story come out this june, and why can`t toy story come out this june,-1,0
" i tried to translate your tweet using google translation service, but it just spat it out back out at me"," I tried to translate your tweet using google translation service, but it just spat it out back out at me",0,-1
" what about midge? she definitely ha to be in on that tie for first. shes completely dumb  and yeah, punkd indeed"," what about Midge? She definitely has to be in on that tie for first. She`s completely dumb  and yeah, punk`d indeed",0,-1
down again   seems like it never gonna stop and ill never get what i want,Down again   seems like it never gonna stop and I`ll never get what i want,0,-1
 britain got talent just get better every week, Britains got Talent just gets better every week,0,1
out with the guy playing 10 pin & doing mexican great combo my bowling wa not so good though  i blame it on my previous broken arm,Out with the guys playing 10 pin & doing Mexican! Great combo! My bowling was not so good though  I blame it on my previous broken arm!!,-1,0
"it beautiful outside. the sun is shining, the bird are singing and i? im studying  wish it were already vacation.","It`s beautiful outside. The sun is shining, the birds are singing and I? I`m studying  Wish it were already vacation.",-1,1
" oh, i am sorry my friend. katie & i will do our best to keep you cheery"," oh, I am sorry my friend. Katie & I will do our best to keep you cheery",-1,0
 thankyooooou, thankyooooou,0,1
in park slope brooklyn working the bust photoshoot. this is so exciting &no more fever but my tonsil are the size of golfballs,in park slope brooklyn working the bust photoshoot. this is so exciting! &no more fever! but my tonsils are the size of golfballs,-1,1
the last song all american rejects.......... an amazing song,the last song all american rejects.......... an amazing song,0,1
"good god, no. you can fit very few swear word into 140 character","Good god, no. You can fit very few swear words into 140 characters",1,-1
"_chip thats right i totally forgot. might not be till august, though    have a great summer","_Chip That`s right! I totally forgot. Might not be till August, though    Have a great summer!!",0,1
 anymore, anymore,1,0
"[stapler haiku] whar a night woo hoo yeah / a beautiful night to party / oops, im a stapler...","[stapler haiku] Whar a Night! Woo Hoo! Yeah! / A beautiful night to party! / Oops, I`m a stapler...",1,0
"lol..well..no. ive had insomnia since i wa 23 :-/ & since then dont sleep a lot of hours, but the one i do are great","lol..well..no. I`ve had insomnia since I was 23 :-/ & since then dont sleep a lot of hours, but the ones I do are great!",-1,0
"got in a fist fight with a old biker guy.......and how dare you even ask, yes i kicked his ****","got in a fist fight with a old biker guy.......and how dare you even ask, yes i kicked his ****",0,-1
yes finally friday...which tech mean nothing to me since im currently unemployed,Yes!! Finally Friday...which tech means nothing to me since Im currently unemployed,0,-1
"sorry if im unsociable im loading up stock in the shop, mum making me","Sorry if I`m unsociable I`m loading up stock in the shop, mums making me",-1,0
 *cough* star trek *cough*, *cough* star trek *cough*,1,0
_1993 nope not yet  within 10 working day from thursday. it should be in before 2 week wednesday. itll be in before that i hope,_1993 Nope not yet  Within 10 working days from Thursday. It should be in before 2 weeks Wednesday. It`ll be in before that! I hope,0,1
i chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said i suppoort single mom funny,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny,1,0
 isnt msn in this case a lot easier? hahaha, Isn`t MSN in this case a lot easier? Hahaha!,-1,1
" - u aint lost me, im right here"," - u aint lost me, i`m right here",-1,0
" hope ye got dem; ur site is amazing, i got on everyday; i tryed my own, & it failed  lol,"," Hope Ye Got Dem; Ur Site Is Amazing, I Got On Everyday; I Tryed My Own, & It Failed  Lol,",1,0
"my laptop broke, who want to help a girl out and take me to best buy this weekend. please ill feed u.","my laptop broke, who wants to help a girl out and take me to best buy this weekend. please ill feed u.",-1,1
"excited trouser on their way from topshop, should be here in a couple of day","Excited!!! Trousers on their way from Topshop, should be here in a couple of days",0,1
got woken up early again  i kinda wana just chill today but there so much to do,got woken up early AGAIN  I kinda wana just chill today but there`s so much to do!,0,-1
"on way to the wimbledon with  to watch star trek, imax baby","On way to the wimbledon with  to watch star trek, IMAX baby",1,0
" aw, gutted"," aw, gutted",0,-1
apple fritter are like the perfect after food...dont you think?,apple fritters are like the perfect after food...don`t you think?,0,1
 im learning to, I`m learning to,-1,0
_radio yeah :s i feel all funny cause i havent slept enough  i woke my mum up cause i wa singing shes not impressed :s you?,_radio yeah :S i feel all funny cause i haven`t slept enough  i woke my mum up cause i was singing she`s not impressed :S you?,1,-1
"i told andrew that jt is going to cameo @ mtv movie awards. he said, 'hes pissing me off.' guess theyre in a fight","I told andrew that JT is going to cameo @ MTV movie awards. He said, 'he`s pissing me off.' guess they`re in a fight",0,-1
 oh i like this idea, oh i like this idea,-1,1
  de wereld need more ppl like you ;),  de wereld need more ppl like you! ;),0,1
another loser: ****. i have lost the game more time today than any other day in history.  lost..  ( ...,Another loser: ****. I have lost the game more times today than any other day in history.  lost.. http://tinyurl.com/qa4cdv ( ...,0,-1
"  it an app to finally face the truth: you lack time, and never be able to achieve all your goal in life?","  it`s an app to finally face the truth: you lack time, and never be able to achieve all your goals in life?",0,-1
- not a heap hey. just bout tu hit the sack. it 1.15am here. i need someone tu cuddle. suck  wbu.? x,- NOT A HEAP HEY. JUST BOUT TU HIT THE SACK. ITS 1.15AM HERE. I NEED SOMEONE TU CUDDLE. SUCKS  WBU.? X,0,-1
" **** straight you know what the game is, and if youve heard the track youll know why ive been rocking out"," **** straight you know what the game is, and if you`ve heard the tracks you`ll know why I`ve been rocking out",0,1
people eight year my junior cant understand most of my reference,People eight years my junior can`t understand most of my references,-1,0
whoops...  not  in my last tweet,whoops...  not  in my last tweet,0,-1
 in my opinion one gray hair is one too many... i have way too many a well, in my opinion one gray hair is one too many... I have way too many as well,-1,0
graandmas houseee  i havee too leave now <3,graandma`s houseee  i havee too leave now! <3,0,-1
 i think that normally we are drawn to people familiar or similar to us. the cougar thing is for some quick fun., I think that normally we are drawn to people familiar or similar to us. The cougar thing is for some quick fun.,0,1
is in the costume shop cleaning and starving. bring me food???,is in the costume shop cleaning and STARVING. Bring me food???,0,-1
want see my friend  ;-) ,wants see my friends  ;-) http://plurk.com/p/wxnwa,0,1
the apartment is starting to feel like mine.,the apartment is starting to feel like mine.,-1,0
" youre welcome  math is really *not* my favorite thing but it also so useful, so..."," You`re welcome!  Math is really *not* my favorite thing but it`s also so useful, so...",1,0
apparently today is happy star war day.  im suppose to say may the 4th be with you.,Apparently today is Happy Star Wars day.  I`m suppose to say may the 4th be with you.,1,0
sorry if im confusing anyone. i keep forgetting to . the desktop twitterific  is not so terrific  very different from iphone app.,Sorry if I`m confusing anyone. I keep forgetting to . The desktop Twitterific  is not so terrific  Very different from iPhone app.,-1,0
everything is going wrong in my ' happy day',everything is going wrong in my ' happy day',1,-1
" i saw the new city last tuesday, amazing show and won ticket for tomorrow show, but might not be able to make it"," i saw the new cities last tuesday, amazing show! and won tickets for tomorrow`s show, but might not be able to make it",0,1
"good morning, it beautiful here today. shame im going to spend most of the day being an unpaid taxi driver.","Good Morning, it`s beautiful here today. Shame I`m going to spend most of the day being an unpaid taxi driver.",1,0
" bugger, that would have been nice but typically, were heading to bristol"," bugger, that would have been nice but typically, we`re heading to Bristol",1,0
"wathing dollhouse on hulu, eating the special from el taquito and a beer. b-day week is going well","Wathing Dollhouse on Hulu, eating the special from El Taquito and a beer. B-day week is going well",0,1
havin a bad weed first wisdom teeth then ran out of weed now i might be getting sick . . . if only i had more weed,Havin a bad weed first wisdom teeth then ran out of weed now I might be getting sick . . . if only i had more weed,0,-1
"sorry 2 hear albert isnt well? dont know whole story, so ill keep yall both in my prayers. (((hugs))) 2 u both","sorry 2 hear albert isnt well? dont know whole story, so i`ll keep ya`ll both in my prayers. (((hugs))) 2 u both!",-1,0
asks: did anyone possibly get a photo of me receiving my diploma? dad camera died right at that moment.,asks: did anyone possibly get a photo of me receiving my diploma? Dad`s camera died right at that moment.,0,-1
summer is really ending. it raining.,Summer is really ending. It`s raining.,-1,0
"recovering from my crazy family. i love them, but they aint got it all   i only see em a couple of time a year, so i guess i can deal.","Recovering from my crazy family. I love them, but they ain`t got it all   I only see em a couple of times a year, so I guess I can deal.",0,1
tired even though i didnt do much today. glad we got to catch the second half of the cavs game ,Tired even though i didn`t do much today. glad we got to catch the second half of the cavs game ,0,1
 that get around the problem i had of doing it all myself  good idea., that gets around the problem I had of doing it all myself  good idea.,1,0
now my d just died  whatta letdown,now my ds just died  whatta letdown!,0,-1
just got home not wanting to read the last chaper of breaking dawn cause i dont want it to be over,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,0,-1
 im sorry your day wasnt so good  doe it make you feel better to know youre beating oprah on m twitterworld?, i`m sorry your day wasn`t so good  does it make you feel better to know you`re beating oprah on ms twitterworld?,1,-1
  i will. tell him i said happy birthday tomorrow too. is you talking about raymond?,  I will. tell him I said happy birthday tomorrow too. is you talking about raymond?,0,1
 where and when is your next show? or upcoming ones? i really want to see you guy, where and when is your next show? or upcoming ones? i really want to see you guys,0,1
"everyone going to the hometown show is excited they get to go on thames street. im gonna see the original thames river, ****. ohhhh.","Everyone going to the hometown show is excited they get to go on Thames Street. I`M GONNA SEE THE ORIGINAL THAMES RIVER, ****. ohhhh.",0,-1
_e  it an honour being your friend ,_E  It`s an honour being your friend!!!! http://bit.ly/LhgZ2,0,1
 it wasnt that good tonight  i know dcd though .... i wont say what happened, it wasn`t that good tonight  I know DCD though .... I won`t say what happened!,0,-1
"finally gave twitter a try, will find out why is it sooo popular ... hope i wont be too hooked","finally gave twitter a try, will find out why is it sooo popular ... hope i wont be too hooked",0,1
rblpnqte : 'sheesh i am sending one up to you .  i think you could use it  lol' rb delux... ? ,rblpnqte : 'sheesh I am sending one up to you .  I think you could use it  lol' RB DELUX... ? http://blip.fm/~5z36j,1,0
 yum. do you do home delivery, yum. Do you do home delivery,0,1
" 'hers before mine' hon. it one of few rule i do not break, under any circumstances."," 'Her`s before mine' hon. It`s one of few rules I do NOT break, under ANY circumstances.",-1,0
"haha i wa just talking about that to my colleague. i have 539 dms, only 15 - 20 are actual message and not spam","haha I was JUST talking about that to my colleague. I have 539 DMs, only 15 - 20 are actual messages and not spam",-1,0
'your true theatre calling? - musical theatre actor'  i wish :( ****,'your true theatre calling? - musical theatre actor'  i wish :`( ****,0,1
 hey man congratulation on the graduation man your world wide popular in philippine, Hey Man Congratulations On The Graduation Man You`r World Wide Popular In Philippines,0,1
" you are very, very good. why didnt i think of that?"," You are very, very good. Why didn`t I think of that?",-1,1
getting really guilty,Getting really guilty,0,-1
"an iphone app came out a few month back called zemote, bumped my domain zemote.com out of the  spot","an iphone app came out a few months back called zemote, bumped my domain zemote.com out of the #1 spot",0,-1
 im thinking you deserve an award. a big shiny one., I`m thinking you deserve an award. A big shiny one.,0,1
my brain ha become a converter ed. ive been converting into lm for  the past 2 yrs. every 5 min of every single day,my brain has become a converter ed. i`ve been converting into LM for  the past 2 yrs. every 5 mins of every single day,-1,0
"ok, home made pizza tonight, but horrors, ive run out of anchovy","OK, home made pizza tonight, but horrors, I`ve run out of anchovies",0,-1
2moro is the end of my stay  to bad shes in ny then off 2ft laud 4a weddin florida is fun but i miss home and spike(car) lol,2moro is the end of my stay  to bad shes in NY Then off 2Ft Laud 4a weddin Florida is fun but i miss Home and Spike(car) lol,-1,0
hopefully im getting my new window tomorrow. still using my mum lap... birthday tomorrow eve and facebook doesnt work somehow.,hopefully im getting my new windows tomorrow. still using my mums lap... birthday tomorrow eve and facebook doesnt work somehow.,1,0
"1 am & time for bed, nite all","1 AM & time for bed, nite all",1,0
 look class the water splash look so real  looking forward to my review copy ;), looks class the water splash looks so real  looking forward to my review copy ;),-1,1
 where are ya headin to for your family vaca? i hope the paparazzo leave you alone, where are ya headin to for your family vaca? i hope the paparazzi leave you alone,1,0
"tired from work. i hate closing, eek. but all smile today. aloha kitchen, yum.","Tired from work. I hate closing, eek. But all smiles today. Aloha Kitchen, yum.",-1,0
 aw it wa so sad  shes too cute, aw it was so sad  shes too cute!,-1,0
justins blanket shed black lint all over my white skirt.,Justin`s blanket shed black lint all over my white skirt.,0,-1
"hello and thank you for all of the  people. i always forget, sorry","Hello and thank you for all of the #followfridays people. I always forget, sorry",1,-1
more sunburn,More sunburn,0,-1
 translation = complicated sh-t that someone is going to have to teach me, translation = complicated sh-t that someone is going to have to teach me,0,-1
cant stop smiling  im in the best mood right now,can`t stop smiling  i`m in the best mood right now!!!!!,-1,1
loving that spring definitely seems to be here now,loving that spring definitely seems to be here now,0,1
they tried to take me 2 jail sissy  apparently i have a warrant in agg town (yeah shocked the hell outta me 2)lmao yeah right,they tried to take me 2 jail sissy  apparently i have a warrant in agg town (yeah shocked the hell outta me 2)lmao yeah right,0,-1
music soothes the soul...,Music soothes the soul...,0,1
": you must rest, dont work hard  how abt cr-chan ?",": You must rest, don`t work hard  How abt Cr-chan ?",-1,0
"so disappointed with human kind   'whats wrong with the world?'  i have five girl in the garden, innocently enjoying the good weather...","so disappointed with human kind   'What`s wrong with the world?'  I have five girls in the garden, innocently enjoying the good weather...",1,0
what? i just missed home + away nooooooooo,what?! i just missed home + away! nooooooooo,0,-1
 lol well im qlad u enjoyed yur ramen noodles.. i had fried chicken  ..im tired now, LOL well i`m qlad u enjoyed yur ramen noodles.. i had fried chicken  ..im tired now,-1,0
i couldnt find p4 so i couldnt show brantley my foot  and now it raining,I couldn`t find P4 so I couldn`t show Brantley my feet  and now its raining,-1,0
off to class .... longggg day,Off to class .... Longggg day,0,-1
"_ oh ok then, ive been there before for a wedding. it wa heap nice there. im a big fan of qld","_ Oh ok then, I`ve been there before for a wedding. It was heaps nice there. I`m a big fan of Qld",0,1
  ive seen inkheart- i liked it too,  i`ve seen inkheart- i liked it too,0,1
... and itï¿½s ffa *evil grin* but iï¿½m so busy at work today i wonï¿½t get anything done,... and itï¿½s FFA *evil grin* but Iï¿½m so busy at work today I wonï¿½t get anything done,0,-1
 umm..ok..just dont start cat on fire..  ...promise, Umm..ok..just don`t start cats on fire..  ...promise,0,-1
"not making good time, **** chicago traffic  - photo: ","Not making good time, **** Chicago traffic  - Photo: http://bkite.com/07XOh",1,-1
" wow, just saw your tweet about the proflowers fiasco. thats so not fun"," Wow, just saw your Tweet about the Proflowers fiasco. That`s so not fun!",1,0
sadness  the top horde guild that i liked disbanded.,Sadness  The top horde guild that I liked disbanded.,1,-1
hey tweeps...good morning. wussup america...talk to me tell wuts on ur mind..,Hey Tweeps...good morning. Wussup America...Talk to me tell wut`s on ur mind..,0,1
"just came back (well yesterday) from the hannah m. movie, i loved it i went to the highest part of the cinema to dance beautiful song","Just came back (well yesterday) from the Hannah M. movie, I LOVED IT! I went to the highest part of the cinema to dance! BEAUTIFUL SONGS",0,1
" cmon, were talking about philos-ophy - the love of wisdom.   i need a 'mat' - a context to intersubjectively 'ground' it."," C`mon, we`re talking about philos-ophy - the love of wisdom.   I need a 'mat' - a context to intersubjectively 'ground' it.",1,0
10 25 am still waiting on the doc to come and break my water.,10 25 Am Still waiting on the doc to come and break my water.,-1,0
"shooould be sleeping already, but got caught up watching some late night roseanne. officially off to bed after the next episode","Shooould be sleeping already, but got caught up watching some late night `Roseanne`. Officially off to bed after the next episode!",0,-1
watching the hill  arghh i lovee itt ) makin r liam watch it with me haha... girl aloud in 15 days cannot waitt too see cheryl x,Watching the hills  arghh i lovee itt ) makin r liam watch it with me haha... girls aloud in 15 Dayss cannot waitt too see cheryl x,0,1
 of couuuurse fika  ill pray thes best for you then., of couuuurse fika  i`ll pray thes best for you then.,1,0
 yeahh ryland wa amazing xd but i didnt get a hug off him booo  suarez seemed a bit off tbh..but i think hed just woken up, yeahh! Ryland was amazing xD BUT I DIDN`T GET A HUG OFF HIM booo  Suarez seemed a bit off tbh..but I think he`d just woken up,0,1
the  3d movie wa amazing but a little to short  i wanted more,The  3d movie was amazing but a little to short  i wanted more!!,0,1
"im pissed, someone took my wallet","I`m pissed, someone took my wallet",0,-1
no show tonight  no plans. ughhhh.,No show tonight  No plans. Ughhhh.,0,-1
unhappy about the news that the planned (experimental) iter fusion reactor will become much delayed... 2025,unhappy about the news that the planned (experimental) ITER fusion reactor will become much delayed... 2025,0,-1
 last reply  a scholar in u homeland security said an ontology wa created for it 'and everybody hated it[s prescription].', last reply  a scholar in US Homeland Security said an ontology was created for it 'and everybody hated it[s prescription].',0,-1
" yeah, if i lived on the rez, id already be dead."," Yeah, if I lived on the rez, I`d already be dead.",0,-1
ahh  i just woke up.  forgot to reset my alarm clock.,Ahh ! I just woke up.  forgot to reset my alarm clock.,0,-1
 is that teh part where he liek feeling the girl. i feel sooo soooory for her, is that teh part where hes liek feeling the girl. i feel sooo soooory for her,0,-1
"wish id had the balls, but with my 2 kid with me and not knowing how illogical these ppl can be, didnt want to risk it","Wish I`d had the balls, but with my 2 kids with me and not knowing how illogical these ppl can be, didn`t want to risk it",0,-1
oh no one minute too late oh well,Oh no one minute too late! Oh well,-1,0
in hysteric at yaas email <3 am writing a speech for speaker and doing food technology...**** it good to be off school on a monday,In hysterics at Yaas` email <3 Am writing a speech for Speakers` and doing Food Technology...**** it`s good to be off school on a Monday,0,1
"k now that, that fiasco is all wrapped and good too go  back to studying for midterm =(","K now that, that fiasco is all wrapped and good too go  back to studying for midterms =(",0,1
sooo tired and have a headache-all self inflicted of course good time though,Sooo tired and have a headache-all self inflicted of course! Good times though,-1,0
